nombre_brevets,inventor
Qichang Yang,1
増田　英樹,1
Philippe Burger,1
Bohumil Culek,1
Stephen Wayne Heinzman,1
Axel Hermann,1
Benjamin Pacan,1
José SALLES,1
Ludivine MOUSNIER,1
Gilles Favre,1
Graham Paine,1
Nicolas Brun,1
Bruce Robert Fick,1
François Gautier,1
Jean-Pierre Rosat,1
Adrian M. Fuxman,1
Anne-Laure Bernard,1
Marie-Lise Chiron,1
Julie MAYEN,1
Christian Hübsch,1
Patrick Carrier,1
Alexander Hellwig,1
Thevenot Pierre Coutos,1
Magalie Pichon,1
François GODART,1
Antoine Vanlaer,1
Antonio CATALINA PEÑA,1
Pierre BRESSY,1
David Farrusseng,1
Jean-Claude Fayard,1
Antoine Vimont,1
Philippe Daverat,1
Jiri Satek,1
Narimasa Yamabe,1
Benjamin Kawak,1
Delphine Chau-Blanchet,1
Lucie CHATRY,1
Fumin Yu,1
Rainer Dr. Lange,1
Jacques Debat,1
Reinhold Schulte,1
François MOISAN,1
Florence Guillemot,1
Elyane CATROU,1
Henri MICAS,1
Chrystel Faure,1
太田　聡,1
Dorothée JARY,1
Serge MUYDERMANS,1
Manon MONTANER,1
Mohammed Abid,1
Maurizio MAFEZZONI,1
Arnaud Brun,1
David Forien,1
David Robert Linders,1
Jean Steuperaert,1
Laurence Roy,1
Jacques Villa-Campes,1
Pierre Villeneuve,1
Morgan Joubert,1
Marcel Ropars,1
Tamas PRILESZKY,1
Alexander GRADY,1
Francine Heisel,1
Perrine FORTIN,1
Daniel Masse,1
Nelavalli Bhanu Manikanta Mahesh,1
Valeri G. Gnedenko,1
Yves Philippe Marcel Bigot,1
Abdelkader Bensaoud,1
Olivier LY,1
Yves Noël Elie RAHBE,1
Sedat TOKGOZ,1
François VINEE,1
Philippe Potin,1
Murugan SATHEESH,1
Hitoshi Yoneyama,1
Christian GOMBERT,1
Pierre Dambricourt,1
Isabelle Andre,1
Cyril ROLS,1
Anne-Lise THUILLIEZ,1
Luca BARONCHELLI,1
Felix Konstantin Schiegg,1
Jean Joseph Weynandt,1
Claude Crescioni,1
Masatoshi Tsuji,1
Orio DE PAOLI,1
Loic Meiffre,1
Albert Meyer,1
Nathalie RENARD,1
Mauro CECCHETTO,1
Fabien Chancel,1
Vincent POULICHET,1
Eric Prudhomme,1
Jean Paul Berthet,1
Christian Villes,1
